time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque
551,199,93,135,3677.61,7.38,10,20
552,197,93,135,3683.79,7.376,10,20
553,196,92,135,3694.02,7.348,10,20
554,194,93,135,3700.74,7.325,10,20
555,192,93,135,3706.59,7.33,10,20
556,196,92,135,3714.89,7.338,10,20
557,198,93,134,3722.19,7.352,10,20
558,198,93,134,3725.87,7.366,10,20
559,198,92,134,3738.13,7.35,10,21
560,195,92,134,3742.47,7.353,10,20
561,194,92,134,3750.76,7.327,10,20
562,194,92,134,3758.45,7.28,10,20
563,194,92,134,3764.4,7.25,10,20
564,195,91,133,3769.83,7.239,10,20
565,197,92,133,3780.16,7.263,10,20
566,199,91,133,3786.34,7.265,10,21
567,198,94,133,3792.8,7.33,10,20
568,199,92,133,3800.97,7.373,10,21
569,200,92,133,3807.52,7.339,10,21
570,196,92,134,3815.46,7.26,10,20
571,192,91,134,3819.62,7.235,10,20
572,193,91,134,3826.37,7.196,10,20
573,195,91,134,3833.18,7.187,10,20
574,196,91,135,3842.57,7.185,10,21
575,197,91,134,3847.7,7.21,10,21
576,199,92,134,3854.91,7.238,10,21
577,198,91,134,3864.02,7.238,10,21
578,197,91,134,3870.57,7.238,10,21
579,196,91,133,3878.04,7.238,10,21
580,196,91,133,3884.19,7.238,10,21
581,196,92,133,3891.59,7.238,10,20
582,196,92,133,3899.98,7.263,10,20
583,198,91,133,3906.31,7.289,10,21
584,197,92,133,3913.09,7.294,10,20
585,196,92,133,3918.93,7.295,10,20
586,195,92,132,3928.5,7.263,10,20
587,195,92,133,3933.3,7.3,10,20
588,196,91,133,3942.04,7.277,10,21
589,197,91,133,3948.74,7.243,10,21
590,195,90,133,3956.72,7.232,10,21
591,194,90,134,3963.37,7.192,9,21
592,194,88,134,3969.07,7.111,9,21
593,191,87,135,3974.99,7.014,9,21
594,189,88,136,3981.2,6.909,9,21
595,192,89,137,3987.57,6.938,9,21
596,202,89,138,3995.75,7.039,9,22
597,208,90,139,4003.83,7.096,9,22
598,205,90,141,4008.43,7.137,9,22
599,202,89,141,4016.67,7.218,9,22
600,201,92,143,4026.05,7.213,9,21
601,198,91,143,4030.36,7.213,9,21
602,194,91,143,4040.76,7.179,9,20
603,193,91,143,4045.96,7.188,9,20
604,193,90,143,4051.06,7.168,9,20
605,194,90,142,4057.96,7.126,9,21
606,194,89,142,4066.58,7.127,9,21
607,197,90,142,4074.0,7.134,9,21
608,198,92,141,4080.17,7.174,9,21
609,199,91,141,4088.88,7.238,9,21
610,199,91,141,4094.47,7.25,9,21
611,199,91,140,4101.43,7.268,9,21
612,197,93,140,4108.08,7.293,9,20
613,196,92,140,4116.47,7.295,9,20
614,195,92,139,4122.78,7.283,9,20
615,194,92,139,4127.03,7.263,9,20
616,195,91,139,4136.7,7.268,9,20
617,196,92,138,4145.42,7.296,9,20
618,197,90,138,4151.61,7.229,9,21
619,195,90,137,4157.21,7.118,9,21
620,206,91,137,4166.09,7.087,9,22
621,229,90,137,4171.85,7.118,9,24
622,235,90,137,4176.36,7.145,9,25
623,235,90,137,4186.47,7.158,9,25
624,231,90,137,4194.14,7.18,9,25
625,229,90,137,4200.56,7.203,9,24
626,229,91,137,4206.92,7.213,9,24
627,228,92,137,4214.37,7.224,9,24
628,229,92,136,4219.96,7.238,9,24
629,229,92,136,4229.0,7.263,9,24
630,229,92,136,4236.13,7.312,9,24
631,229,92,137,4241.22,7.317,9,24
632,228,92,137,4249.23,7.327,9,24
633,224,94,137,4257.05,7.325,9,23
634,229,93,137,4263.57,7.334,9,24
635,229,92,137,4270.1,7.344,9,24
636,227,92,138,4274.41,7.353,9,24
637,225,93,138,4284.71,7.349,9,23
638,227,93,138,4293.07,7.377,9,23
639,228,93,138,4299.45,7.38,9,23
640,227,93,138,4307.8,7.39,9,23
641,227,91,137,4314.04,7.352,9,24
642,224,93,137,4320.44,7.326,9,23
643,225,92,137,4328.49,7.328,9,23
644,228,93,138,4335.03,7.347,9,23
645,228,93,138,4341.92,7.327,9,23
646,226,93,138,4349.85,7.337,9,23
647,230,93,139,4358.22,7.37,9,24
648,231,93,139,4360.86,7.369,9,24
649,228,92,139,4372.46,7.355,9,24
650,226,93,140,4378.75,7.353,9,23
651,225,93,140,4384.44,7.353,9,23
652,227,93,140,4388.15,7.353,9,23
653,228,93,141,4394.66,7.368,9,23
654,228,92,141,4406.73,7.379,9,24
655,227,92,141,4412.53,7.352,9,24
656,227,93,141,4419.34,7.347,9,23
657,227,92,141,4424.49,7.351,9,24
658,227,93,140,4433.86,7.325,9,23
659,226,92,140,4440.31,7.328,9,23
660,227,93,140,4450.68,7.349,9,23
661,229,93,140,4457.19,7.377,9,24
662,229,92,140,4460.07,7.363,9,24
663,227,93,140,4471.47,7.325,9,23
664,226,92,140,4477.28,7.352,9,23
665,229,92,140,4486.19,7.377,9,24
666,228,93,140,4492.75,7.353,9,23
667,224,93,139,4500.42,7.325,9,23
